file,species
c0461776c.png,Common Chickweed
4bbfd1e05.png,Cleavers
1d0cbd819.png,Loose Silky-bent
93079d970.png,Sugar beet
856f2910a.png,Small-flowered Cranesbill
976e4e079.png,Common Chickweed
b31292706.png,Common Chickweed
29bab7cad.png,Common Chickweed
37297a64c.png,Common Chickweed
f2dc546ca.png,Cleavers
b6a3f7876.png,Loose Silky-bent
8874bba69.png,Loose Silky-bent
1459e96a0.png,Cleavers
9a3f20121.png,Loose Silky-bent
5315c2dca.png,Loose Silky-bent
b7a7f6390.png,Fat Hen
20e562fd5.png,Sugar beet
e3f50adfc.png,Cleavers
6ba4ef411.png,Cleavers
acdb75e00.png,Loose Silky-bent
e0ec5b6a1.png,Sugar beet
219fd68d5.png,Scentless Mayweed
41f1c3cdb.png,Fat Hen
8c98a6e9b.png,Loose Silky-bent
1bf9b94a6.png,Scentless Mayweed
cadab6616.png,Shepherds Purse
17d5e5ac4.png,Loose Silky-bent
aee6fa3df.png,Loose Silky-bent
7e9cf1c46.png,Common Chickweed
19618ad6a.png,Sugar beet
48231e475.png,Scentless Mayweed
1c52ea820.png,Fat Hen
3b73c3b61.png,Loose Silky-bent
33448fe39.png,Loose Silky-bent
19b51843a.png,Common Chickweed
4e1190d78.png,Loose Silky-bent
0c45ace27.png,Common Chickweed
851c90831.png,Loose Silky-bent
d93c7ab6d.png,Loose Silky-bent
279df95f2.png,Sugar beet
534e74d83.png,Maize
ace8761dd.png,Common Chickweed
7615e52d3.png,Cleavers
71b232519.png,Loose Silky-bent
c7ae30f3a.png,Scentless Mayweed
fd87b36ae.png,Loose Silky-bent
7f46a71db.png,Sugar beet
a276c65f7.png,Loose Silky-bent
d84d37a61.png,Common Chickweed
3d67c434b.png,Fat Hen
1f5e5554e.png,Small-flowered Cranesbill
c6c8d4ba0.png,Loose Silky-bent
0ad9e7dfb.png,Maize
1f3f44563.png,Maize
bffc08672.png,Scentless Mayweed
e82017baa.png,Loose Silky-bent
cd5f0db1c.png,Small-flowered Cranesbill
6680836dd.png,Sugar beet
35a90f8d0.png,Scentless Mayweed
65d08b894.png,Sugar beet
3f826b318.png,Common Chickweed
fd253a74e.png,Cleavers
12625488b.png,Fat Hen
22fbf13d6.png,Loose Silky-bent
502dff972.png,Small-flowered Cranesbill
66ab0e8d0.png,Charlock
b341d0aab.png,Common Chickweed
ef9676433.png,Charlock
466bb6d3b.png,Maize
8585f9718.png,Loose Silky-bent
3efa1f66c.png,Loose Silky-bent
7c85b0265.png,Loose Silky-bent
3e9f41817.png,Loose Silky-bent
d2fd9df40.png,Loose Silky-bent
54c8bb900.png,Charlock
4e69d100a.png,Small-flowered Cranesbill
e52493d0b.png,Common wheat
32c86784b.png,Common Chickweed
e9cd91682.png,Common Chickweed
187668bde.png,Scentless Mayweed
edfdb4aeb.png,Scentless Mayweed
0bf7bfb05.png,Loose Silky-bent
0751c0bbc.png,Sugar beet
4c8005bbc.png,Loose Silky-bent
cfb18d262.png,Scentless Mayweed
780defa2e.png,Common Chickweed
86c309150.png,Sugar beet
c64370a72.png,Sugar beet
dfb1d9012.png,Loose Silky-bent
9d3cb4745.png,Common wheat
406ecb5c5.png,Charlock
6b9d6f8c9.png,Sugar beet
bf3924a57.png,Common Chickweed
